1,旋转木马,旋转木马是一种古老而经典的游乐设施，通常由木制的装饰艺术马匹固定在圆形平台上。当旋转木马开始运转时，马匹随着音乐旋转起来，给乘坐者带来愉悦的体验。这种设施常常出现在游乐园和主题公园中，是许多人童年时光中的美好回忆。,../images/yl-1.jpg
2,摩天轮,摩天轮是一种高大的旋转设施，由巨大的轮子和装有小舱的结构组成。乘客站在舱内，随着摩天轮缓慢升起，可以俯瞰周围的景色，感受到高空俯瞰的刺激和美丽。摩天轮常常被用于观赏城市景观或营造浪漫的氛围，吸引着许多游客前来体验。,../images/yl-2.jpg
3,碰碰车,碰碰车是一种充满刺激和趣味的游乐设施，通常是小型汽车外形的电动车辆。乘客可以驾驶碰碰车在特定区域内相互碰撞，体验驾驶和碰撞的乐趣。碰碰车常常吸引着年轻人和家庭前来玩耍，成为游乐园中受欢迎的项目之一。,../images/yl-3.jpg
4,海盗船,海盗船是一种模拟海上航行的游乐设施，通常设计成船舷摇晃、前后摆动的船形结构。乘客坐在船舷上，随着海盗船荡起荡落，体验仿佛在汹涌海浪中航行的刺激感受。海盗船常常设有逼真的装饰和配有音乐效果，给乘客带来身临其境的海上冒险体验。,../images/yl-4.jpg
5,过山车,过山车是一种高速运行的游乐设施，通过坡道、环形轨道和急速弯道设计，带给乘客速度和重力的极限挑战。乘客坐在过山车上，随着过山车在轨道上急速飞驰、翻腾和盘旋，体验到惊险刺激的旅程。过山车是游乐园中备受欢迎的项目，吸引着许多寻求刺激的游客前来体验。,../images/yl-5.jpg
6,飞椅,飞椅是一种简单而经典的旋转游乐设施，由一根中心支柱支撑着若干个摆动的椅子。乘客乘坐在飞椅上，随着飞椅快速旋转，体验到快乐和兴奋的感觉。飞椅通常设有灯光和音乐效果，为乘客营造欢快的氛围，成为各大游乐园中备受喜爱的项目之一。,../images/yl-6.jpg
7,旋转飞艇,旋转飞艇是一种结合了旋转和上下移动的游乐设施，通过悬挂在大型支架上的舱体，在旋转的同时上下摆荡。乘客坐在舱内，随着飞艇的旋转和摆荡，感受到不同方向的运动带来的刺激感受。旋转飞艇常常体验舒适而轻松，在游乐园中吸引着许多家庭和小朋友来体验。,../images/yl-7.jpg
8,跳楼机,跳楼机是一种极具挑战和刺激性的游乐设施，通常由一根高大的支柱和连接着弹簧的安全带组成。乘客穿戴好安全装备后，站在跳楼机上，随着机器通过弹簧将乘客从较高处推起，体验到极速下落的自由快感。跳楼机能够给乘客带来空中跳跃的体验，受到寻求刺激的游客们的热捧。,../images/yl-8.jpg
9,水上漂流,水上漂流是一种清凉而趣味十足的水上游乐项目，乘客坐在充气船或漂浮器上，顺着水道缓缓漂流。在水道中会设置不同的水流、水涡和障碍，增加游戏的趣味和挑战性。水上漂流是夏季时的热门项目，让游客们在水中尽情享受放松和快乐。,../images/yl-9.jpg
10,空中吊椅,空中吊椅是一种悬挂在空中的舒适休闲设施，常常设在高空观光点或景观区。乘客坐在吊椅内，随着吊椅缓缓摇晃和旋转，俯瞰周围的景色，享受到高空漫步的安逸和美景。空中吊椅常常被用来观赏风景或享受悠闲时光，在放松身心的同时感受到宁静和喜悦。,../images/yl-10.jpg
11,跳楼机二号,跳楼机二号是一款令人心跳加速的游乐设施，风靡全球的主题公园。这项刺激的游乐项目将乘客带至高空，然后迅速将他们拉回地面，以模拟跳楼的感觉。乘客将在高空中停留片刻，感受到无与伦比的飞行体验，然后在重力加速下回到地面，带来刺激和惊险的快感。跳楼机二号融合了高空飞行和自由坠落的元素，为游客带来了一场刺激的冒险之旅，让他们体验到前所未有的极限乐趣。,../images/yl-10.jpg
